Alpha,C_P001,C_P002,C_P003,C_P004,C_P005,C_P006,C_P007,C_P008,C_P009,C_P010,C_P011,C_P012,C_P013,C_P014,C_P015,C_P016,C_P017,C_P018,C_P019,C_P020,C_P021,C_P022,C_P023,C_P024,C_P025
degrees,,,,,,,,,,,,,,,,,,,,,,,,,
14,-4.247,-2.864,-4.151,-2.319,-1.733,-1.355,-1.098,-0.930,-0.704,-0.521,-0.462,-0.415,-0.358,-0.332,-0.308,-0.309,-0.318,-0.340,-0.315,-0.303,-0.309,-0.325,-0.308,-0.330,-0.280
13.5,-4.556,-3.506,-4.431,-2.204,-1.813,-1.442,-1.188,-1.025,-0.803,-0.604,-0.525,-0.450,-0.364,-0.320,-0.287,-0.288,-0.297,-0.317,-0.291,-0.278,-0.284,-0.297,-0.279,-0.300,-0.251
13,-4.853,-3.601,-4.523,-2.218,-1.886,-1.522,-1.272,-1.119,-0.909,-0.720,-0.642,-0.543,-0.440,-0.346,-0.288,-0.270,-0.267,-0.283,-0.257,-0.241,-0.244,-0.258,-0.237,-0.256,-0.209
12.5,-5.574,-3.654,-4.505,-2.243,-1.927,-1.572,-1.328,-1.188,-0.988,-0.811,-0.754,-0.659,-0.549,-0.433,-0.338,-0.284,-0.253,-0.248,-0.214,-0.195,-0.194,-0.207,-0.184,-0.203,-0.160
12,-5.252,-3.680,-4.442,-2.316,-1.981,-1.625,-1.386,-1.254,-1.062,-0.895,-0.846,-0.763,-0.663,-0.558,-0.453,-0.385,-0.311,-0.275,-0.205,-0.164,-0.152,-0.159,-0.123,-0.141,-0.104
11.5,-5.028,-3.559,-3.933,-2.283,-1.963,-1.621,-1.389,-1.265,-1.080,-0.921,-0.881,-0.809,-0.713,-0.622,-0.522,-0.450,-0.373,-0.321,-0.237,-0.170,-0.136,-0.113,-0.076,-0.081,-0.053
11,-4.535,-3.225,-3.606,-2.079,-1.870,-1.568,-1.353,-1.239,-1.059,-0.905,-0.874,-0.806,-0.716,-0.632,-0.534,-0.461,-0.389,-0.336,-0.245,-0.174,-0.131,-0.100,-0.054,-0.052,-0.020
10.5,-4.990,-2.800,-3.282,-2.254,-1.826,-1.548,-1.344,-1.240,-1.064,-0.912,-0.886,-0.820,-0.732,-0.648,-0.560,-0.489,-0.409,-0.356,-0.262,-0.187,-0.136,-0.096,-0.042,-0.034,0.006
10,-4.603,-2.594,-2.924,-2.744,-1.696,-1.477,-1.299,-1.205,-1.038,-0.894,-0.871,-0.813,-0.728,-0.651,-0.560,-0.497,-0.416,-0.365,-0.270,-0.194,-0.139,-0.095,-0.034,-0.020,0.026
9,-3.974,-2.528,-2.468,-2.042,-1.745,-1.493,-1.251,-1.140,-0.980,-0.858,-0.848,-0.797,-0.728,-0.652,-0.572,-0.510,-0.431,-0.381,-0.286,-0.207,-0.146,-0.091,-0.018,0.012,0.078
8,-2.929,-2.200,-2.075,-1.777,-1.567,-1.338,-1.198,-1.135,-0.989,-0.833,-0.806,-0.746,-0.683,-0.625,-0.554,-0.494,-0.424,-0.377,-0.285,-0.208,-0.147,-0.091,-0.013,0.027,0.094
7,-1.882,-1.726,-1.701,-1.547,-1.410,-1.216,-1.088,-1.046,-0.919,-0.810,-0.817,-0.783,-0.723,-0.614,-0.514,-0.466,-0.403,-0.363,-0.278,-0.203,-0.144,-0.088,-0.009,0.034,0.106
6,-0.957,-1.260,-1.310,-1.277,-1.224,-1.064,-0.966,-0.932,-0.825,-0.720,-0.732,-0.704,-0.662,-0.623,-0.583,-0.532,-0.371,-0.318,-0.246,-0.181,-0.130,-0.080,-0.004,0.039,0.110
5,-0.197,-0.823,-0.962,-1.049,-1.054,-0.940,-0.865,-0.843,-0.749,-0.657,-0.666,-0.641,-0.601,-0.557,-0.519,-0.515,-0.503,-0.357,-0.206,-0.142,-0.107,-0.064,0.007,0.046,0.116
