Alpha,q_inf,"P_s, inf",U inf,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
13,241.06,759.49,20.248,295.43,294.77,295.89,264.63,263.29,294.85,298.81,303.82,262.31,293.55,293.63,263.03,261.15,295.04,287.78,298.65,262.42,251.38,233.84,214.05,192,185.15,188.92,201,214.25,238.05,253.73,264.6,264.47,269.6,273.84,261.62,265.88,269.19,267.76,269.63,270.14,267.14,265.61,264.54,266.39,267.34,268.46,270.34,269.5,267.91,268.92
13.5,238.26,762.29,20.130,292.03,291.36,292.72,261.25,259.9,291.41,295.32,300.34,259.06,290.08,290.29,259.73,257.58,291.35,283.71,292.15,253.45,239.01,220.31,199.83,181.98,181.55,190.76,205.84,219.74,240.73,253.99,262.66,261.2,265.95,270.13,257.98,263.25,264.61,264.9,266.86,267.13,264.22,262.74,261.83,263.78,264.65,265.77,267.54,266.72,265,265.87
14,241.89,758.66,20.283,293.83,293.03,294.32,262.86,261.76,293.19,297.12,302.19,260.76,291.9,292.09,261.43,259.35,292.58,283.65,289.49,247.26,229.18,209.08,190.93,179.86,184.93,199.05,216.49,230.08,249.38,259.92,266.59,263.87,268.02,272.06,259.94,265.58,269.79,267.45,269.26,269.83,266.42,265.24,264.18,266.14,267.07,268.19,269.96,269.25,267.43,268.25
14.5,238.91,761.64,20.157,295.83,295.27,296.54,264.9,263.69,295.24,299.17,304.21,262.69,293.64,292.33,259.89,254.54,284.56,270.93,274.44,233.45,221.14,209.75,197.8,185.24,179.85,174.92,168.44,161.37,159.86,160.26,163.44,160.51,168.08,175.65,170.31,177.06,187.65,191.79,199.65,206.38,209.38,220.55,230.22,241.84,250.92,257.37,263.32,265.19,265.53,268.08
15,240.39,760.16,20.220,294.5,293.78,295.05,263.63,262.11,293.57,297.73,298.5,249.82,266.82,246.97,205.14,192.01,215.13,196.86,199.84,160.28,153.06,149.81,147.48,147.22,151.89,157.19,158.83,159.09,166.07,171.57,179.27,181.46,193.14,202.57,198.55,212.29,220.48,228.17,235.84,241.66,243.05,249.56,255.65,261.89,265.37,267.91,270.63,270.13,268.47,269.64
15.5,242.17,758.38,20.294,298.45,297.96,299.23,267.62,266.16,297.47,301.24,300.98,250.03,263.81,239.63,196.11,180.42,204.16,185.25,188.24,149.44,143.74,142.64,141.12,140.62,146.68,152.91,156.67,158.4,165.97,172.4,180.19,182.88,194.97,204.65,201.46,212.75,224.43,228.58,237.02,243.71,245.04,251.38,256.1,262.96,266.87,269.11,272.02,271.54,270,271.32
16,238.50,762.05,20.140,294.71,294.07,295.33,263.75,262.19,293.4,296.7,296.13,245.92,259.33,234.98,191.53,176.7,200.18,180.15,181.88,142.93,138.08,136.18,135.1,135.54,143.28,150.24,154.91,157.03,165.01,172.4,181.51,184.33,196.4,206.35,203.22,217.6,226.79,233.72,241.2,246.62,247.63,253.68,258.15,262.85,265.06,267.3,269.76,269.16,267.57,268.49
15.5,242.98,757.57,20.337,298.07,297.62,298.79,267.02,265.67,297.23,300.8,300.34,248.94,263.45,238.65,195.49,180.24,203.55,185.95,188.11,149.12,144.13,142.45,140.04,140.36,146.95,155.09,158.59,159.92,168.37,175.69,184.1,187.08,199.62,210.08,206.88,215.6,225.4,230.55,238.85,245.75,247.99,254.37,259.33,264.97,267.68,269.95,272.5,271.74,270.27,271.45
15,240.71,759.84,20.241,295.24,294.71,295.97,264.5,262.69,294.29,298.1,299.37,250.82,268.03,247.54,204.47,189.77,213.25,194.48,196.77,156.95,150.48,146.99,145,144.82,150.03,156.63,159.97,160.85,167.71,172.81,180.25,182.15,193.87,202.44,198.2,211.08,221.14,225.01,232.75,238.74,240.5,247.05,253,260.58,264.7,268.02,271.17,270.87,269.24,270.31
14.5,237.05,763.50,20.087,293.14,292.43,293.94,262.32,260.52,292.4,296.6,299.15,252.1,270.25,252.33,210.29,196.44,220.12,203,205.97,166.78,159.91,157.84,155.15,154.5,159.3,165.12,168.71,168.85,175.82,181.32,189,190.9,201.5,210.43,205.38,212.83,223.54,227.11,234.29,240.27,241.71,248.14,253.2,259.04,262.98,265.43,268.33,267.89,266.33,267.62
14,239.90,760.65,20.207,290.45,289.8,291.28,259.54,257.72,289.55,294.4,298.7,257.31,284.36,261.89,210.94,187.27,207.9,197.14,216.59,199.56,216.95,236.28,249.17,257.02,262.83,267.53,267.46,264.17,265.39,265.14,266.29,261.44,264.8,268.24,257.26,262.91,263.83,264.19,266.47,266.93,263.81,262.5,261.44,263.25,264.23,265.35,267.31,266.45,264.72,265.58
13.5,242.25,758.30,20.306,292.74,291.99,293.47,261.71,260.03,291.86,296.6,300.96,259.55,288.54,272.91,226.47,203.67,219.9,201.67,213.31,192.11,207.14,227.68,243.96,255.14,263.51,269.04,269.74,266.52,267.85,267.57,268.61,263.66,267.22,270.4,259.54,264.28,266.19,265.82,268.1,268.55,265.34,264.16,263.06,264.86,265.79,266.98,268.86,268.13,266.16,267.07
13,244.07,756.48,20.382,292.61,291.88,293.24,261.7,259.81,291.68,296.54,300.79,259.52,290.06,280.45,236.83,215.07,227.56,204.22,211.09,186.45,200.18,221.96,240.7,253.69,263.04,269.14,269.77,266.72,267.63,267.35,268.62,263.54,266.97,270.32,259.45,264.68,266.15,266.35,268.52,268.95,265.81,264.65,263.46,265.32,266.37,267.43,269.48,268.61,266.73,267.58
12.5,241.71,758.84,20.284,290.8,290.06,291.43,259.88,258,289.68,294.59,298.97,257.89,288.72,283.42,242.6,222.78,235.53,209.31,211.38,182.94,195.14,217.68,237.51,251.44,261,267.29,267.79,264.83,265.77,265.56,266.53,261.7,265.05,268.37,257.49,262.29,265.14,263.44,265.93,266.24,263.36,261.85,260.96,262.74,263.94,264.85,266.69,265.82,264.12,264.81
12,244.10,756.45,20.384,296.22,295.71,296.94,265.37,263.63,295.64,300.44,304.53,263.13,294.51,292.19,254.7,237.84,250.89,220.92,218.17,185.09,195.77,218.44,240.26,256.31,266.72,272.73,273.53,270.54,271.42,270.97,272.27,267.19,270.76,273.81,263.09,266.66,268.77,268.32,270.58,270.86,267.84,266.41,265.18,267.08,268.03,269.23,271.14,270.26,268.56,269.38
11.5,244.68,755.87,20.408,296.81,296.42,297.64,266.06,264.39,296.36,301.15,305.18,263.69,295.1,294.3,260.08,246.81,261.96,231.82,225.47,188.41,196.88,218.6,240.7,257.69,268.27,273.82,274.29,271.27,272.18,271.69,273.04,267.77,271.38,274.58,263.75,266.47,269.68,268.21,270.33,270.9,267.64,266.37,265.1,267.02,267.88,269.22,271.19,270.03,268.48,269.3
11,243.14,757.41,20.343,293.14,292.45,293.89,262.34,260.51,292.4,297.14,301.41,260.11,291.27,291.32,258.8,248.74,266.81,236.31,228.68,188.83,195.81,217.28,239.68,256.02,265.07,270.21,270.26,267.35,268.2,267.87,269.07,264.09,267.51,270.78,259.95,264.73,267.06,266.25,268.58,269.09,265.87,264.65,263.43,265.39,266.24,267.43,269.37,268.47,266.68,267.54
